"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"7965","Sie","PRO.Pers.Subst.3.Nom.Pl.*","PRO","Pers","Subst","Nom","3","Pl",NA,NA,NA
"7966","mich","PRO.Pers.Subst.1.Acc.Sg.*","PRO","Pers","Subst","Acc","1","Sg",NA,NA,NA
"7967","nicht","PART.Neg","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"7968","vermuten","VFIN.Full.3.Pl.Pres.Ind","VFIN","Full",NA,NA,"3","Pl",NA,"Pres","Ind"
"7969",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7970","–","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7971","So","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7972","feierlich","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"7973","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7974","so","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7975","ernsthaft","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"7976","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7977","–","N.Reg.Dat.Pl.Fem","N","Reg",NA,"Dat",NA,"Pl","Fem",NA,NA
"7978","Ist","VFIN.Sein.3.Sg.Pres.Ind","VFIN",NA,NA,NA,"3","Sg",NA,"Pres","Ind"
"7979","dieser","PRO.Dem.Attr.-.Nom.Sg.Masc","PRO","Dem","Attr","Nom",NA,"Sg","Masc",NA,NA
"7980","Tag","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"7981","keiner","PRO.Indef.Subst.-.Acc.Sg.Fem","PRO","Indef","Subst","Acc",NA,"Sg","Fem",NA,NA
"7982","freudigern","VFIN.Full.3.Pl.Pres.Ind","VFIN","Full",NA,NA,"3","Pl",NA,"Pres","Ind"
"7983","Aufwallung","N.Reg.Acc.Sg.Fem","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"7984","wert","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"7985","?","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7986","Er","PRO.Pers.Subst.3.Nom.Sg.Masc","PRO","Pers","Subst","Nom","3","Sg","Masc",NA,NA
"7987","ist","VFIN.Sein.3.Sg.Pres.Ind","VFIN",NA,NA,NA,"3","Sg",NA,"Pres","Ind"
"7988","mehr","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"7989","wert","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"7990",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"7991","als","CONJ.Comp.-","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"7992","mein","PRO.Poss.Attr.-.Acc.Sg.Neut","PRO","Poss","Attr","Acc",NA,"Sg","Neut",NA,NA
"7993","ganzes","ADJA.Pos.Acc.Sg.Neut","ADJA","Pos",NA,"Acc",NA,"Sg","Neut",NA,NA
"7994","Leben","N.Reg.Acc.Sg.Neut","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"7995",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"7996","Aber","CONJ.Coord.Aber","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"7997","schwanger","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"7998","mit","APPR.Dat","APPR",NA,NA,"Dat",NA,NA,NA,NA,NA
"7999","so","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8000","viel","PRO.Indef.Attr.-.*.*.*","PRO","Indef","Attr",NA,NA,NA,NA,NA,NA
"8001","Glückseligkeit","N.Reg.Dat.Sg.Fem","N","Reg",NA,"Dat",NA,"Sg","Fem",NA,NA
"8002","für","APPR.Acc","APPR",NA,NA,"Acc",NA,NA,NA,NA,NA
"8003","mich","PRO.Pers.Subst.1.Acc.Sg.*","PRO","Pers","Subst","Acc","1","Sg",NA,NA,NA
"8004",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8005","–","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"8006","mag","VFIN.Mod.3.Sg.Pres.Ind","VFIN","Mod",NA,NA,"3","Sg",NA,"Pres","Ind"
"8007","es","PRO.Pers.Subst.3.Nom.Sg.Neut","PRO","Pers","Subst","Nom","3","Sg","Neut",NA,NA
"8008","wohl","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8009","diese","PRO.Dem.Attr.-.Acc.Sg.Fem","PRO","Dem","Attr","Acc",NA,"Sg","Fem",NA,NA
"8010","Glückseligkeit","N.Reg.Acc.Sg.Fem","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"8011","selbst","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8012","sein","VINF.Sein.-","VINF",NA,NA,NA,NA,NA,NA,NA,NA
