type,pos,lemma,freq,range
a,,,1,1
ab,,,2,1
abbruch,,,1,1
aber,,,11,1
abgeleget,,,1,1
absichten,,,1,1
ach,,,4,1
acht,,,1,1
achter,,,1,1
affectirte,,,1,1
affectirter,,,1,1
alle,,,11,1
allein,,,3,1
allen,,,1,1
allerliebst,,,2,1
allerwenigsten,,,1,1
alles,,,1,1
allgemeine,,,1,1
als,,,17,1
am,,,2,1
amant,,,1,1
amanten,,,1,1
an,,,13,1
ander,,,1,1
andere,,,4,1
andern,,,3,1
anfangs,,,1,1
annimmt,,,1,1
arme,,,1,1
art,,,1,1
artiger,,,1,1
auch,,,19,1
auf,,,15,1
aufgedecket,,,1,1
aufgewartet,,,1,1
aufrichtigkeit,,,1,1
aufsetzerin,,,1,1
auftritt,,,11,1
aufwarten,,,2,1
aufwartung,,,1,1
augen,,,4,1
augenblick,,,2,1
aus,,,9,1
ausgabe,,,1,1
auszugehn,,,1,1
auszumachen,,,1,1
außer,,,1,1
bald,,,2,1
bauen,,,1,1
bedanken,,,1,1
bediente,,,1,1
bedienter,,,1,1
bedingungen,,,1,1
befahl,,,1,1
befehl,,,1,1
befördert,,,1,1
begehen,,,1,1
begehrte,,,1,1
begin,,,1,1
begleiten,,,3,1
behutsam,,,1,1
beklagen,,,1,1
belebt,,,1,1
belebter,,,1,1
bereits,,,1,1
beschwerlich,,,1,1
besser,,,2,1
besten,,,3,1
beständig,,,3,1
beständiger,,,1,1
beständigkeit,,,2,1
bestürzung,,,1,1
besuch,,,1,1
besuche,,,1,1
besuchen,,,1,1
besucht,,,1,1
betragen,,,1,1
betrogen,,,1,1
betrüben,,,1,1
betrüger,,,2,1
bevorstehenden,,,1,1
bey,,,7,1
beyde,,,3,1
beyden,,,1,1
beyfall,,,1,1
billig,,,1,1
bin,,,12,1
bis,,,2,1
bist,,,1,1
bitte,,,8,1
bitten,,,1,1
blaß,,,1,1
bleibe,,,1,1
bleiben,,,3,1
bleibt,,,1,1
blieb,,,1,1
blutiger,,,1,1
blühen,,,1,1
brauche,,,1,1
brav,,,2,1
bringen,,,1,1
bruder,,,1,1
brunnen,,,1,1
bräutigam,,,1,1
bussel,,,1,1
celim,,,1,1
celimene,,,63,1
celimenen,,,1,1
chlorinde,,,40,1
christian,,,1,1
compliment,,,1,1
coquetten,,,1,1
creatur,,,1,1
curios,,,1,1
cydalise,,,49,1
cydalisen,,,9,1
da,,,13,1
dabey,,,1,1
dachte,,,1,1
dafür,,,1,1
damis,,,42,1
damit,,,1,1
danke,,,2,1
danken,,,1,1
darauf,,,1,1
darf,,,4,1
das,,,39,1
dauert,,,1,1
dauret,,,1,1
davon,,,3,1
dazu,,,1,1
daß,,,27,1
decke,,,1,1
dein,,,1,1
deine,,,1,1
dem,,,11,1
den,,,17,1
denen,,,1,1
denken,,,2,1
denn,,,16,1
der,,,40,1
dereinst,,,1,1
dero,,,1,1
des,,,2,1
dessen,,,1,1
desto,,,1,1
deswegen,,,1,1
dich,,,3,1
die,,,54,1
dienerin,,,3,1
dienstboten,,,1,1
dienstbothen,,,1,1
dies,,,1,1
diese,,,2,1
diesen,,,4,1
dieser,,,2,1
ding,,,1,1
dir,,,3,1
doch,,,23,1
dran,,,1,1
drey,,,2,1
dritter,,,1,1
du,,,15,1
dummer,,,1,1
dummkopf,,,1,1
durchlesen,,,1,1
eben,,,3,1
edelmüthig,,,1,1
edelmüthiger,,,1,1
ehe,,,1,1
eher,,,2,1
ehre,,,8,1
eigensinnig,,,1,1
ein,,,33,1
einander,,,3,1
eindruck,,,1,1
eine,,,17,1
einem,,,4,1
einen,,,6,1
einer,,,3,1
einige,,,1,1
einigem,,,1,1
einiger,,,1,1
einmal,,,7,1
einzig,,,1,1
einzige,,,1,1
elend,,,2,1
elende,,,1,1
elenden,,,1,1
elender,,,1,1
elendes,,,1,1
empfehlen,,,1,1
end,,,1,1
ende,,,1,1
englische,,,1,1
entschließen,,,1,1
entzwey,,,1,1
entzücken,,,1,1
er,,,19,1
erast,,,56,1
erasten,,,2,1
ereifern,,,1,1
erfahren,,,1,1
erfahrung,,,1,1
erhalten,,,1,1
erinnere,,,1,1
erinnern,,,1,1
erkenne,,,1,1
ernsthaften,,,1,1
eroberungen,,,1,1
ersinnliche,,,1,1
erstemal,,,1,1
ersten,,,1,1
erster,,,1,1
erwachen,,,1,1
erwartet,,,1,1
erweisen,,,1,1
erweißt,,,1,1
erwiesen,,,1,1
erwischt,,,1,1
erzeigen,,,1,1
erzeigt,,,1,1
erzählen,,,1,1
es,,,40,1
etwan,,,1,1
etwas,,,5,1
euer,,,1,1
ewig,,,2,1
ewige,,,4,1
ewigkeit,,,1,1
fange,,,1,1
fangen,,,1,1
fehler,,,1,1
fehlt,,,2,1
fest,,,1,1
feuer,,,1,1
finden,,,2,1
findet,,,1,1
finette,,,11,1
fleißig,,,1,1
flüchtigen,,,1,1
flüchtling,,,1,1
foppen,,,1,1
fortkommen,,,1,1
frage,,,1,1
frau,,,27,1
frauenzimmer,,,5,1
freue,,,1,1
freund,,,1,1
freundin,,,1,1
freut,,,1,1
frey,,,2,1
freygeist,,,1,1
freyheit,,,1,1
freylich,,,1,1
fromme,,,1,1
fruchtbarer,,,1,1
fräulein,,,19,1
fällt,,,4,1
fängt,,,1,1
fühle,,,1,1
führt,,,1,1
fünfter,,,1,1
für,,,18,1
fürchten,,,1,1
füßen,,,2,1
ganz,,,1,1
gar,,,7,1
geben,,,3,1
gebeten,,,1,1
gebohren,,,1,1
gedacht,,,3,1
gedreht,,,1,1
gefalle,,,1,1
gefallen,,,3,1
gefiel,,,1,1
gefährliche,,,1,1
gefährlicher,,,1,1
gefällt,,,2,1
gegeben,,,1,1
gegen,,,1,1
geglaubt,,,2,1
geh,,,2,1
gehabt,,,3,1
gehalten,,,1,1
gehe,,,2,1
gehen,,,1,1
gehn,,,2,1
geirret,,,1,1
geiste,,,1,1
gekränktes,,,1,1
geliebt,,,2,1
geliebte,,,2,1
gemacht,,,1,1
gemahl,,,1,1
gemahle,,,1,1
gemahlin,,,4,1
gemüthsart,,,4,1
genommen,,,1,1
genug,,,1,1
gerade,,,2,1
gerechtigkeit,,,1,1
geringsten,,,1,1
gerne,,,3,1
gerücht,,,1,1
gesagt,,,3,1
gesehn,,,4,1
gesellschaft,,,3,1
gesellschafter,,,1,1
gesicht,,,1,1
gesichte,,,1,1
gesichter,,,1,1
gespenst,,,1,1
gestehe,,,1,1
gesund,,,2,1
gesunde,,,2,1
getroffen,,,2,1
getöß,,,1,1
gewesen,,,1,1
gewisse,,,3,1
gewiß,,,4,1
gewogenheit,,,1,1
geworden,,,2,1
gewunden,,,1,1
gewußt,,,1,1
giebt,,,4,1
gieng,,,1,1
gift,,,1,1
glaube,,,5,1
glauben,,,2,1
gleich,,,2,1
gleichwohl,,,2,1
glück,,,3,1
glücklich,,,5,1
glücklicher,,,1,1
glüht,,,1,1
gnaden,,,11,1
gnädige,,,23,1
gnädigen,,,1,1
gott,,,3,1
gottlob,,,1,1
gratuliren,,,1,1
groß,,,2,1
großmüthig,,,2,1
grundsätze,,,1,1
grundsätzen,,,1,1
größten,,,2,1
grüß,,,1,1
gusto,,,1,1
gut,,,5,1
gute,,,1,1
guten,,,1,1
göttlichen,,,1,1
ha,,,4,1
habe,,,26,1
haben,,,19,1
halten,,,5,1
hand,,,5,1
handeln,,,1,1
hast,,,3,1
hat,,,21,1
hatte,,,1,1
hause,,,5,1
he,,,1,1
heftigste,,,1,1
heimlich,,,1,1
heimlichkeiten,,,1,1
heißt,,,1,1
henker,,,1,1
henkers,,,1,1
herr,,,9,1
herum,,,2,1
herz,,,2,1
herzen,,,4,1
herzens,,,1,1
heute,,,8,1
heyrath,,,1,1
heyrathen,,,6,1
heßliche,,,1,1
hier,,,5,1
himmel,,,2,1
hin,,,1,1
hm,,,2,1
hochachtung,,,1,1
hochmuth,,,1,1
hochzeit,,,1,1
hoffe,,,2,1
hofräthin,,,1,1
hängt,,,1,1
hätte,,,7,1
hätten,,,1,1
häuser,,,1,1
höre,,,2,1
hören,,,3,1
ich,,,144,1
ih,,,1,1
ihm,,,3,1
ihn,,,4,1
ihnen,,,21,1
ihr,,,15,1
ihre,,,13,1
