"","tn","index","request","undef","checksum","undefindex","indexindex","requestindex","unclearindex","undefrequest","indexrequest","requestrequest","unclearrequest","undefundef","indexundef","requestundef","unclearundef","indexundef_p","indexindex_p","indexrequest_p","indexunclear_p","requestindex_p","requestrequest_p","requestundef_p","requestunclear_p","undefindex_p","undefrequest_p","undefundef_p","undefunclear_p"
"12",12,12,12,13,37,1,6,4,1,2,3,6,1,2,3,6,2,8.33333333333333,50,33.3333333333333,8.33333333333333,25,50,16.6666666666667,8.33333333333333,23.0769230769231,46.1538461538462,15.3846153846154,15.3846153846154
"13",13,12,12,13,37,0,2,8,2,0,3,7,2,0,3,10,0,0,16.6666666666667,66.6666666666667,16.6666666666667,25,58.3333333333333,0,16.6666666666667,23.0769230769231,76.9230769230769,0,0
"14",14,12,11,13,36,2,3,7,0,2,4,5,0,3,4,5,1,16.6666666666667,25,58.3333333333333,0,36.3636363636364,45.4545454545455,18.1818181818182,0,30.7692307692308,38.4615384615385,23.0769230769231,7.69230769230769
"15",15,12,9,13,34,0,4,8,0,0,6,3,0,0,4,9,0,0,33.3333333333333,66.6666666666667,0,66.6666666666667,33.3333333333333,0,0,30.7692307692308,69.2307692307692,0,0
"16",16,12,11,13,36,0,6,6,0,2,6,3,0,2,4,6,1,0,50,50,0,54.5454545454545,27.2727272727273,18.1818181818182,0,30.7692307692308,46.1538461538462,15.3846153846154,7.69230769230769
"17",17,13,13,12,38,1,4,8,0,6,3,4,0,2,4,5,1,7.69230769230769,30.7692307692308,61.5384615384615,0,23.0769230769231,30.7692307692308,46.1538461538462,0,33.3333333333333,41.6666666666667,16.6666666666667,8.33333333333333
"18",18,13,10,12,35,0,8,5,0,0,3,7,0,0,7,5,0,0,61.5384615384615,38.4615384615385,0,30,70,0,0,58.3333333333333,41.6666666666667,0,0
"19",19,13,12,12,37,0,4,5,4,0,3,5,4,0,6,4,2,0,30.7692307692308,38.4615384615385,30.7692307692308,25,41.6666666666667,0,33.3333333333333,50,33.3333333333333,0,16.6666666666667
"20",20,13,16,12,41,0,4,2,7,0,7,2,7,0,6,2,4,0,30.7692307692308,15.3846153846154,53.8461538461538,43.75,12.5,0,43.75,50,16.6666666666667,0,33.3333333333333
"21",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,13,13,12,38,0,6,7,0,0,4,9,0,0,3,9,0,0,46.1538461538462,53.8461538461538,0,30.7692307692308,69.2307692307692,0,0,25,75,0,0
"23",23,13,13,12,38,1,4,8,0,0,1,12,0,0,3,9,0,7.69230769230769,30.7692307692308,61.5384615384615,0,7.69230769230769,92.3076923076923,0,0,25,75,0,0
"24",24,13,16,12,41,1,3,6,3,0,2,11,3,0,5,6,1,7.69230769230769,23.0769230769231,46.1538461538462,23.0769230769231,12.5,68.75,0,18.75,41.6666666666667,50,0,8.33333333333333
"25",25,13,15,12,40,0,4,7,2,0,4,9,2,0,6,6,0,0,30.7692307692308,53.8461538461538,15.3846153846154,26.6666666666667,60,0,13.3333333333333,50,50,0,0
"26",26,13,14,12,39,4,3,5,1,0,3,10,1,0,5,6,1,30.7692307692308,23.0769230769231,38.4615384615385,7.69230769230769,21.4285714285714,71.4285714285714,0,7.14285714285714,41.6666666666667,50,0,8.33333333333333
"27",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,6,5,4,15,0,3,3,0,0,2,3,0,1,1,2,0,0,50,50,0,40,60,0,0,25,50,25,0
"29",29,13,14,12,39,1,7,3,2,0,5,7,2,1,4,6,1,7.69230769230769,53.8461538461538,23.0769230769231,15.3846153846154,35.7142857142857,50,0,14.2857142857143,33.3333333333333,50,8.33333333333333,8.33333333333333
"30",30,13,12,13,38,0,3,10,0,0,4,8,0,1,5,7,0,0,23.0769230769231,76.9230769230769,0,33.3333333333333,66.6666666666667,0,0,38.4615384615385,53.8461538461538,7.69230769230769,0
"31",31,6,9,8,23,0,1,4,1,1,2,5,1,0,2,4,2,0,16.6666666666667,66.6666666666667,16.6666666666667,22.2222222222222,55.5555555555556,11.1111111111111,11.1111111111111,25,50,0,25
"32",32,13,17,13,43,1,2,3,7,0,5,5,7,0,3,7,3,7.69230769230769,15.3846153846154,23.0769230769231,53.8461538461538,29.4117647058824,29.4117647058824,0,41.1764705882353,23.0769230769231,53.8461538461538,0,23.0769230769231
