corpus,drama,figure_surface,figure_id,Gender,Age
drst,001nnz584.0,Schulmeister,schulmeister,MALE,
drst,001nnz584.0,Pachter,pachter,MALE,
drst,001nnz584.0,Lieschen,lieschen,FEMALE,
drst,001nnz584.0,Rose,rose,FEMALE,
drst,001nnz584.0,Hans,hans,MALE,
drst,001nnz584.0,Ein Andrer,ein_andrer,MALE,
drst,001nnz584.0,Ein Mädchen,ein_maedchen,FEMALE,
drst,001nnz584.0,Eine Andre,eine_andre,FEMALE,
