Source,Target,Weight,Type
rez1,rez10,4,undirected
rez1,rez13,1,undirected
rez1,rez3,19,undirected
rez1,rez7,14,undirected
rez1,rez8,7,undirected
rez10,rez1,4,undirected
rez10,rez11,4,undirected
rez10,rez13,2,undirected
rez10,rez14,26,undirected
rez10,rez15,1,undirected
rez10,rez17,5,undirected
rez10,rez2,4,undirected
rez10,rez3,29,undirected
rez10,rez4,8,undirected
rez10,rez6,10,undirected
rez10,rez7,4,undirected
rez10,rez8,15,undirected
rez11,rez10,4,undirected
rez11,rez13,2,undirected
rez11,rez14,10,undirected
rez11,rez15,2,undirected
rez11,rez17,7,undirected
rez11,rez18,9,undirected
rez11,rez19,3,undirected
rez11,rez2,1,undirected
rez11,rez3,18,undirected
rez11,rez4,4,undirected
rez11,rez6,3,undirected
rez11,rez7,1,undirected
rez11,rez8,2,undirected
rez12,rez13,4,undirected
rez12,rez14,1,undirected
rez12,rez15,3,undirected
rez12,rez17,7,undirected
rez12,rez3,18,undirected
rez12,rez4,1,undirected
rez12,rez5,1,undirected
rez12,rez7,1,undirected
rez12,rez8,11,undirected
rez13,rez1,1,undirected
rez13,rez10,2,undirected
rez13,rez11,2,undirected
rez13,rez12,4,undirected
rez13,rez14,5,undirected
rez13,rez15,19,undirected
rez13,rez17,1,undirected
rez13,rez3,20,undirected
rez13,rez4,8,undirected
rez13,rez5,6,undirected
rez13,rez6,2,undirected
rez13,rez8,9,undirected
rez14,rez10,26,undirected
rez14,rez11,10,undirected
rez14,rez12,1,undirected
rez14,rez13,5,undirected
rez14,rez16,3,undirected
rez14,rez18,1,undirected
rez14,rez19,1,undirected
rez14,rez3,30,undirected
rez14,rez5,6,undirected
rez14,rez6,7,undirected
rez14,rez7,1,undirected
rez14,rez8,13,undirected
rez14,rez9,2,undirected
rez15,rez10,1,undirected
rez15,rez11,2,undirected
rez15,rez12,3,undirected
rez15,rez13,19,undirected
rez15,rez3,17,undirected
rez15,rez4,4,undirected
rez15,rez8,10,undirected
rez16,rez14,3,undirected
rez16,rez18,2,undirected
rez16,rez2,8,undirected
rez16,rez3,21,undirected
rez16,rez7,3,undirected
rez16,rez8,10,undirected
rez16,rez9,3,undirected
rez17,rez10,5,undirected
rez17,rez11,7,undirected
rez17,rez12,7,undirected
rez17,rez13,1,undirected
rez17,rez19,2,undirected
rez17,rez3,18,undirected
rez17,rez6,3,undirected
rez17,rez7,2,undirected
rez17,rez8,4,undirected
rez17,rez9,1,undirected
rez18,rez11,9,undirected
rez18,rez14,1,undirected
rez18,rez16,2,undirected
rez18,rez2,4,undirected
rez18,rez3,18,undirected
rez18,rez4,8,undirected
rez18,rez7,3,undirected
rez18,rez8,5,undirected
rez19,rez11,3,undirected
rez19,rez14,1,undirected
rez19,rez17,2,undirected
rez19,rez2,1,undirected
rez19,rez3,19,undirected
rez19,rez6,2,undirected
rez19,rez7,3,undirected
rez19,rez8,6,undirected
rez19,rez9,8,undirected
rez2,rez10,4,undirected
rez2,rez11,1,undirected
rez2,rez16,8,undirected
rez2,rez18,4,undirected
rez2,rez19,1,undirected
rez2,rez3,18,undirected
rez2,rez4,2,undirected
rez2,rez7,5,undirected
rez2,rez8,7,undirected
rez2,rez9,6,undirected
rez3,rez1,19,undirected
rez3,rez10,29,undirected
rez3,rez11,18,undirected
rez3,rez12,18,undirected
rez3,rez13,20,undirected
rez3,rez14,30,undirected
rez3,rez15,17,undirected
rez3,rez16,21,undirected
rez3,rez17,18,undirected
rez3,rez18,18,undirected
rez3,rez19,19,undirected
rez3,rez2,18,undirected
rez3,rez4,18,undirected
rez3,rez5,21,undirected
rez3,rez6,18,undirected
rez3,rez7,22,undirected
rez3,rez8,41,undirected
rez3,rez9,18,undirected
rez4,rez10,8,undirected
rez4,rez11,4,undirected
rez4,rez12,1,undirected
rez4,rez13,8,undirected
rez4,rez15,4,undirected
rez4,rez18,8,undirected
rez4,rez2,2,undirected
rez4,rez3,18,undirected
rez4,rez7,3,undirected
rez4,rez8,4,undirected
rez5,rez12,1,undirected
rez5,rez13,6,undirected
rez5,rez14,6,undirected
rez5,rez3,21,undirected
rez5,rez7,15,undirected
rez5,rez8,1,undirected
rez6,rez10,10,undirected
rez6,rez11,3,undirected
rez6,rez13,2,undirected
rez6,rez14,7,undirected
rez6,rez17,3,undirected
rez6,rez19,2,undirected
rez6,rez3,18,undirected
rez6,rez8,1,undirected
rez7,rez1,14,undirected
rez7,rez10,4,undirected
rez7,rez11,1,undirected
rez7,rez12,1,undirected
rez7,rez14,1,undirected
rez7,rez16,3,undirected
rez7,rez17,2,undirected
rez7,rez18,3,undirected
rez7,rez19,3,undirected
rez7,rez2,5,undirected
rez7,rez3,22,undirected
rez7,rez4,3,undirected
rez7,rez5,15,undirected
rez7,rez8,8,undirected
rez7,rez9,3,undirected
rez8,rez1,7,undirected
rez8,rez10,15,undirected
rez8,rez11,2,undirected
rez8,rez12,11,undirected
rez8,rez13,9,undirected
rez8,rez14,13,undirected
rez8,rez15,10,undirected
rez8,rez16,10,undirected
rez8,rez17,4,undirected
rez8,rez18,5,undirected
rez8,rez19,6,undirected
rez8,rez2,7,undirected
rez8,rez3,41,undirected
rez8,rez4,4,undirected
rez8,rez5,1,undirected
rez8,rez6,1,undirected
rez8,rez7,8,undirected
rez8,rez9,6,undirected
rez9,rez14,2,undirected
rez9,rez16,3,undirected
rez9,rez17,1,undirected
rez9,rez19,8,undirected
rez9,rez2,6,undirected
rez9,rez3,18,undirected
rez9,rez7,3,undirected
rez9,rez8,6,undirected
