;...1;...2;...3;codes;category;scheme;pre1;pre2;pre3;phrase;feature;subst;ar;regex;repl;regexcor;test
141;141;141;NA;#90 subj;2;1;%;0;SU;zero;subject;%0SU: zero subject;46;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);%#%;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);test3
142;142;142;NA;#90 sub#;2;1;%;0;SU;zero;subject;%0SU: zero subject;46;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);%#%;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);test3
143;143;143;NA;#9 0 subj#;2;1;%;0;SU;zero;subject;%0SU: zero subject;46;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);%#%;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);test3
144;144;144;NA;#90 subj?#;2;1;%;0;SU;zero;subject;%0SU: zero subject;46;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);%#%;(90 subj\.)|(9ck 0 subj\.)|(90 subj)|(90 subj)|(90 subj)|(#90 subj#)|(#90 subj)|(#90 sub#)|(#9 0 subj#)|(#90 subj\?#);test3
145;145;145;73;90 verb;2;9;%;0;VP;zero;VP;%0VP: zero VP;47;(90 verb)|(#90 verb#);%#%;(90 verb)|(#90 verb#);test3
146;146;146;NA;#90 verb#;2;1;%;0;VP;zero;VP;%0VP: zero VP;47;(90 verb)|(#90 verb#);%#%;(90 verb)|(#90 verb#);test3
59;59;59;59;9ck tape;3;9;%;C;OM;cmnt;check tape;%COM: cmnt check tape;18;(9ck tape)|(#check tape#);%#%;(9ck tape)|(#check tape#);test3
60;60;60;NA;#check tape#;3;1;%;C;OM;cmnt;check tape;%COM: cmnt check tape;18;(9ck tape)|(#check tape#);%#%;(9ck tape)|(#check tape#);test3
61;61;61;60;9besondere Form;3;9;%;C;OM;cmnt;form;%COM: cmnt form;19;(9besondere Form);%#%;(9besondere Form);test3
62;62;62;NA;#Gestik#;3;1;%;C;OM;cmnt;gesture;%COM: cmnt gesture;20;(#Gestik#);%#%;(#Gestik#);test3
