Source,Target,Weight,Type
klemm_celimene,klemm_chlorinde,6,undirected
klemm_celimene,klemm_cydalise,4,undirected
klemm_celimene,klemm_damis,3,undirected
klemm_celimene,klemm_erast,3,undirected
klemm_celimene,klemm_finette,2,undirected
klemm_chlorinde,klemm_celimene,6,undirected
klemm_chlorinde,klemm_cydalise,5,undirected
klemm_chlorinde,klemm_damis,4,undirected
klemm_chlorinde,klemm_erast,2,undirected
klemm_chlorinde,klemm_finette,1,undirected
klemm_cydalise,klemm_celimene,4,undirected
klemm_cydalise,klemm_chlorinde,5,undirected
klemm_cydalise,klemm_damis,1,undirected
klemm_cydalise,klemm_finette,4,undirected
klemm_damis,klemm_celimene,3,undirected
klemm_damis,klemm_chlorinde,4,undirected
klemm_damis,klemm_cydalise,1,undirected
klemm_damis,klemm_ein_bedienter,2,undirected
klemm_damis,klemm_erast,1,undirected
klemm_ein_bedienter,klemm_damis,2,undirected
klemm_ein_bedienter,klemm_erast,1,undirected
klemm_ein_bedienter,klemm_finette,3,undirected
klemm_erast,klemm_celimene,3,undirected
klemm_erast,klemm_chlorinde,2,undirected
klemm_erast,klemm_damis,1,undirected
klemm_erast,klemm_ein_bedienter,1,undirected
klemm_finette,klemm_celimene,2,undirected
klemm_finette,klemm_chlorinde,1,undirected
klemm_finette,klemm_cydalise,4,undirected
klemm_finette,klemm_ein_bedienter,3,undirected
