"klemm_celimene" "klemm_chlorinde" "klemm_cydalise" "klemm_damis" "klemm_ein_bedienter" "klemm_erast" "klemm_finette"
"ich" 3.68975903614458 3.35820895522388 6.01941747572816 7.79661016949153 0 5.95744680851064 4.54545454545455
"sie" 5.12048192771084 3.35820895522388 5.24271844660194 1.35593220338983 0 4.25531914893617 0.505050505050505
"so" 1.6566265060241 1.67910447761194 2.52427184466019 2.03389830508475 0 0.425531914893617 1.51515151515152
"nicht" 1.12951807228916 2.42537313432836 2.71844660194175 1.35593220338983 0 0.851063829787234 2.02020202020202
"die" 1.28012048192771 3.35820895522388 0.970873786407767 2.03389830508475 0 0.425531914893617 1.51515151515152
"ist" 1.28012048192771 2.05223880597015 1.16504854368932 0.677966101694915 5.88235294117647 2.12765957446809 2.02020202020202
"und" 1.43072289156627 0.746268656716418 1.16504854368932 2.03389830508475 5.88235294117647 0.425531914893617 2.02020202020202
"es" 0.978915662650602 1.86567164179104 0.970873786407767 0.677966101694915 5.88235294117647 2.12765957446809 2.02020202020202
"das" 0.903614457831325 2.23880597014925 1.16504854368932 0 0 1.27659574468085 3.03030303030303
"der" 1.05421686746988 1.11940298507463 1.16504854368932 1.35593220338983 11.7647058823529 0.425531914893617 2.52525252525253
"zu" 1.35542168674699 1.67910447761194 1.16504854368932 0.677966101694915 0 0.851063829787234 0.505050505050505
"ein" 0.903614457831325 2.05223880597015 0.776699029126214 0 0 1.27659574468085 1.01010101010101
"erast" 0.828313253012048 0.932835820895522 2.33009708737864 0.677966101694915 0 0 1.01010101010101
"mir" 0.753012048192771 0.746268656716418 1.94174757281553 0.338983050847458 0 2.5531914893617 0
"sich" 1.20481927710843 1.30597014925373 0.776699029126214 0.677966101694915 0 0 1.01010101010101
"mich" 0.828313253012048 0.746268656716418 0.970873786407767 0.677966101694915 0 2.5531914893617 0
"was" 0.903614457831325 0.186567164179104 0.58252427184466 2.71186440677966 0 1.27659574468085 0.505050505050505
"daß" 0.903614457831325 0.746268656716418 0.970873786407767 0.338983050847458 0 1.27659574468085 1.01010101010101
"frau" 0 0.932835820895522 0.970873786407767 2.71186440677966 0 3.82978723404255 0
"habe" 0.753012048192771 0.932835820895522 0.776699029126214 1.35593220338983 0 0.851063829787234 0.505050505050505
"ja" 0.903614457831325 0.932835820895522 0.776699029126214 0.338983050847458 0 1.27659574468085 0.505050505050505
"meine" 0.903614457831325 0.932835820895522 0.58252427184466 1.69491525423729 0 0.425531914893617 0
"damis" 0.978915662650602 1.11940298507463 0.776699029126214 0 0 0.851063829787234 0
"in" 0.602409638554217 1.11940298507463 0.970873786407767 1.01694915254237 0 0.425531914893617 0.505050505050505
"noch" 0.828313253012048 0.932835820895522 0.776699029126214 0.338983050847458 0 0.425531914893617 1.01010101010101
"doch" 0.52710843373494 0.932835820895522 1.16504854368932 1.01694915254237 0 0.425531914893617 0.505050505050505
"gnädige" 0 0.559701492537313 0.58252427184466 2.03389830508475 0 4.68085106382979 0
"man" 1.05421686746988 0.932835820895522 0.388349514563107 0.338983050847458 0 0 0.505050505050505
"cydalise" 0.602409638554217 1.30597014925373 0 1.35593220338983 0 0.851063829787234 0.505050505050505
"hat" 0.602409638554217 1.30597014925373 0.388349514563107 0.677966101694915 5.88235294117647 0 0.505050505050505
"ihnen" 0.753012048192771 0.559701492537313 0.58252427184466 1.35593220338983 0 0.425531914893617 0
"von" 0.677710843373494 0.559701492537313 0.388349514563107 0.338983050847458 5.88235294117647 0.851063829787234 1.51515151515152
"mit" 0.828313253012048 0.932835820895522 0.194174757281553 0.677966101694915 0 0.425531914893617 0
"sind" 0.903614457831325 0.373134328358209 0.388349514563107 0.338983050847458 0 0.425531914893617 1.01010101010101
"wie" 1.12951807228916 0 0.58252427184466 0 0 0.425531914893617 0.505050505050505
"auch" 0.602409638554217 0.746268656716418 0.388349514563107 1.01694915254237 0 0 1.01010101010101
"er" 0.602409638554217 0.746268656716418 0.58252427184466 0 0 0 2.02020202020202
"fräulein" 0.753012048192771 0.186567164179104 0.194174757281553 1.35593220338983 0 1.27659574468085 0
"haben" 0.52710843373494 1.11940298507463 0.58252427184466 0.338983050847458 0 0.425531914893617 0.505050505050505
"recht" 0.451807228915663 0.373134328358209 1.74757281553398 0.338983050847458 0 0 0.505050505050505
"für" 0.677710843373494 0.746268656716418 0.388349514563107 0.338983050847458 0 0.425531914893617 0.505050505050505
"seyn" 0.451807228915663 0.746268656716418 0.776699029126214 0 0 0.425531914893617 1.51515151515152
"als" 0.451807228915663 0.373134328358209 0.388349514563107 1.69491525423729 0 0.425531914893617 0.505050505050505
"den" 0.451807228915663 0.559701492537313 0.194174757281553 0.677966101694915 0 1.27659574468085 1.01010101010101
"eine" 0.376506024096386 0.373134328358209 0.58252427184466 0.677966101694915 5.88235294117647 0.851063829787234 1.01010101010101
"wenn" 0.376506024096386 0.746268656716418 0.58252427184466 1.35593220338983 0 0 0.505050505050505
"denn" 0.753012048192771 0.186567164179104 0.58252427184466 0.338983050847458 0 0 0.505050505050505
"nun" 0.753012048192771 0.186567164179104 0.388349514563107 0 0 0 1.51515151515152
"du" 0.602409638554217 0 0 2.03389830508475 0 0.425531914893617 0
"ihr" 0.225903614457831 0 0 0.677966101694915 11.7647058823529 0.425531914893617 3.53535353535354
"liebe" 0.753012048192771 0.186567164179104 0.388349514563107 0.677966101694915 0 0 0
"schon" 0.301204819277108 0.559701492537313 0.58252427184466 0.677966101694915 0 0 1.51515151515152
"auf" 0.376506024096386 0.186567164179104 0.388349514563107 0.677966101694915 0 0.851063829787234 1.01010101010101
"o" 0.376506024096386 0.373134328358209 0 0.677966101694915 0 2.12765957446809 0
"an" 0.52710843373494 0.373134328358209 0.58252427184466 0 5.88235294117647 0 0
"da" 0.602409638554217 0.373134328358209 0.194174757281553 0.338983050847458 5.88235294117647 0 0
"ihre" 0.602409638554217 0.559701492537313 0.194174757281553 0 0 0.425531914893617 0
"bin" 0.150602409638554 0.186567164179104 0.776699029126214 1.01694915254237 0 0.425531914893617 0.505050505050505
"aber" 0.376506024096386 0.186567164179104 0.194174757281553 0.338983050847458 0 0 1.51515151515152
"alle" 0.52710843373494 0 0.194174757281553 0 0 0.425531914893617 1.01010101010101
