item,frequency-focus,frequency-reference,relative-frequency-focus,relative-frequency-reference,Score
"familie",1,4984009,529.66101,237.33832,2.227
"lang",2,9982840,1059.32202,475.38242,2.226
"statt",1,5023383,529.66101,239.21330,2.209
"wichtig",2,10113598,1059.32202,481.60913,2.197
"ort",1,5106042,529.66101,243.14951,2.174
"schaffen",1,5189068,529.66101,247.10321,2.139
"folgend",1,5263962,529.66101,250.66966,2.109
"zeigen",2,10554368,1059.32202,502.59860,2.105
"heißen",1,5286665,529.66101,251.75076,2.100
"bekannt",1,5397893,529.66101,257.04745,2.056
"haben",30,162718039,15889.83008,7748.62646,2.051
"alt",2,10839413,1059.32202,516.17242,2.050
"helfen",1,5510034,529.66101,262.38760,2.015
"sie",136,756259702,72033.89844,36013.05859,2.000
"klar",1,5573677,529.66101,265.41827,1.992
"als",15,84065852,7944.91504,4003.21216,1.984
"art",1,5631196,529.66101,268.15732,1.972
"um",9,51117445,4766.94922,2434.21069,1.958
"geschichte",1,5753966,529.66101,274.00363,1.930
"leicht",1,5800286,529.66101,276.20938,1.914
"erst",5,29170936,2648.30518,1389.11877,1.906
"was",6,36077788,3177.96606,1718.02283,1.849
"davon",1,6122360,529.66101,291.54654,1.814
"möglichkeit",1,6197579,529.66101,295.12845,1.792
"wissen",2,12459506,1059.32202,593.32117,1.784
"fast",1,6231212,529.66101,296.73007,1.782
"jung",1,6263208,529.66101,298.25369,1.773
"rund",1,6285029,529.66101,299.29282,1.767
"stehen",3,19090654,1588.98303,909.09613,1.747
"ob",2,12750789,1059.32202,607.19208,1.743
"gehören",1,6440053,529.66101,306.67505,1.725
"solche",1,6565283,529.66101,312.63852,1.692
"liegen",2,13167438,1059.32202,627.03284,1.688
"gelten",1,6735695,529.66101,320.75354,1.649
"zwar",1,6795717,529.66101,323.61179,1.635
"eine",58,396530336,30720.33984,18882.75781,1.627
"vielleicht",1,6845865,529.66101,325.99982,1.623
"spiel",1,6988586,529.66101,332.79617,1.590
"zweit",1,7021295,529.66101,334.35376,1.582
"lassen",3,21159730,1588.98303,1007.62555,1.576
"denn",2,14523740,1059.32202,691.61993,1.531
"etwas",2,14762375,1059.32202,702.98370,1.506
"dann",5,37290107,2648.30518,1775.75330,1.491
"diese",12,89515626,6355.93213,4262.73047,1.491
"noch",7,52909467,3707.62720,2519.54663,1.471
"recht",1,7607854,529.66101,362.28571,1.461
"einfach",2,15520668,1059.32202,739.09357,1.433
"mit",23,179087864,12182.20312,8528.15723,1.428
"unter",3,23930284,1588.98303,1139.55920,1.394
"stadt",1,8002463,529.66101,381.07697,1.389
"dafür",1,8110881,529.66101,386.23984,1.370
"ende",1,8171685,529.66101,389.13528,1.360
"verschieden",1,8192418,529.66101,390.12259,1.357
"gerade",1,8274576,529.66101,394.03497,1.343
"wieder",3,25337483,1588.98303,1206.56982,1.317
"aus",8,67602568,4237.28809,3219.23145,1.316
"damit",2,16928315,1059.32202,806.12567,1.314
"können",12,103001855,6355.93213,4904.94434,1.296
"nah",1,8665627,529.66101,412.65680,1.283
"man",6,52275902,3177.96606,2489.37622,1.277
"sehr",3,26197998,1588.98303,1247.54761,1.273
"wenn",5,43729937,2648.30518,2082.41772,1.272
"sollen",4,35028104,2118.64404,1668.03687,1.270
"in",48,428446574,25423.72852,20402.60938,1.246
"alle",6,54201989,3177.96606,2581.09644,1.231
"fall",1,9113199,529.66101,433.97018,1.220
"keine",4,36509834,2118.64404,1738.59680,1.218
"jedoch",1,9168232,529.66101,436.59082,1.213
"ein",1,9263361,529.66101,441.12085,1.200
"seite",1,9285870,529.66101,442.19275,1.197
"schön",1,9339383,529.66101,444.74106,1.191
"drei",1,9351560,529.66101,445.32092,1.189
"bringen",1,9383355,529.66101,446.83499,1.185
"schon",3,29039356,1588.98303,1382.85291,1.149
"machen",3,29413052,1588.98303,1400.64832,1.134
"nicht",13,128578879,6885.59326,6122.92090,1.125
"nur",5,49702108,2648.30518,2366.81226,1.119
"weiter",1,10007643,529.66101,476.56354,1.111
"aber",6,60064965,3177.96606,2860.29126,1.111
"sein",35,353241845,18538.13477,16821.36133,1.102
"wo",1,10122275,529.66101,482.02234,1.099
"dass",7,71215132,3707.62720,3391.26147,1.093
"ganz",2,21901748,1059.32202,1042.96033,1.016
"wollen",2,22157001,1059.32202,1055.11548,1.004
"über",4,45864960,2118.64404,2184.08765,0.970
"einige",1,11712764,529.66101,557.76135,0.950
