item,frequency-focus,frequency-reference,relative-frequency-focus,relative-frequency-reference,Score
"gleichzeitig",1,2800024,529.66101,133.33704,3.950
"firma",1,2809376,529.66101,133.78236,3.937
"richtig",3,8495966,1588.98303,404.57755,3.920
"werk",1,2839607,529.66101,135.22197,3.896
"staat",1,2859418,529.66101,136.16537,3.869
"wenig",2,5745023,1059.32202,273.57776,3.862
"funktionieren",1,2896279,529.66101,137.92070,3.820
"sprechen",2,5836544,1059.32202,277.93597,3.801
"mensch",5,14766604,2648.30518,703.18506,3.762
"fehlen",1,2942845,529.66101,140.13817,3.760
"einsetzen",1,2973943,529.66101,141.61903,3.721
"schnell",3,9078928,1588.98303,432.33817,3.669
"brauchen",2,6094376,1059.32202,290.21393,3.641
"bilden",1,3042970,529.66101,144.90610,3.637
"interesse",1,3070905,529.66101,146.23637,3.604
"essen",1,3141847,529.66101,149.61462,3.523
"starten",1,3151777,529.66101,150.08749,3.512
"grund",2,6495439,1059.32202,309.31256,3.417
"sonst",1,3246003,529.66101,154.57454,3.411
"ding",1,3269370,529.66101,155.68727,3.387
"rolle",1,3296614,529.66101,156.98462,3.359
"überhaupt",1,3330610,529.66101,158.60352,3.325
"auto",1,3330810,529.66101,158.61304,3.325
"dadurch",1,3360298,529.66101,160.01726,3.296
"wenige",1,3434226,529.66101,163.53770,3.225
"mitarbeiter",1,3440986,529.66101,163.85962,3.219
"straße",1,3444832,529.66101,164.04276,3.215
"sache",1,3502759,529.66101,166.80124,3.162
"anders",1,3516961,529.66101,167.47754,3.150
"mann",2,7065960,1059.32202,336.48071,3.142
"idee",1,3566429,529.66101,169.83321,3.106
"danach",1,3576167,529.66101,170.29692,3.098
"andere",3,10757606,1588.98303,512.27679,3.098
"entscheiden",1,3580157,529.66101,170.48692,3.094
"bleiben",3,10807583,1588.98303,514.65662,3.083
"aufgabe",1,3597155,529.66101,171.29637,3.080
"eigen",3,10901595,1588.98303,519.13348,3.057
"ihre",18,65493487,9533.89844,3118.79712,3.056
"öffentlich",1,3631323,529.66101,172.92345,3.051
"anfang",1,3659709,529.66101,174.27519,3.028
"viele",6,22041763,3177.96606,1049.62793,3.026
"hören",1,3671208,529.66101,174.82277,3.018
"setzen",2,7432256,1059.32202,353.92371,2.987
"sinn",1,3711011,529.66101,176.71820,2.986
"erkennen",1,3743040,529.66101,178.24341,2.961
"erfolgreich",1,3751034,529.66101,178.62408,2.954
"zwei",4,15111846,2118.64404,719.62549,2.941
"leute",1,3806595,529.66101,181.26990,2.911
"wohl",2,7630968,1059.32202,363.38638,2.910
"sorgen",1,3809294,529.66101,181.39842,2.909
"heute",3,11470951,1588.98303,546.24622,2.905
"schlecht",1,3857559,529.66101,183.69681,2.873
"erscheinen",1,3877113,529.66101,184.62796,2.859
"unterstützen",1,3919916,529.66101,186.66624,2.828
"spielen",2,7928558,1059.32202,377.55759,2.801
"kaum",1,3975429,529.66101,189.30977,2.788
"allerdings",2,7991426,1059.32202,380.55136,2.779
"tun",2,8146658,1059.32202,387.94351,2.726
"weg",2,8215038,1059.32202,391.19977,2.704
"ander",5,20754246,2648.30518,988.31635,2.678
"produkt",1,4220348,529.66101,200.97279,2.627
"am",1,4231829,529.66101,201.51953,2.620
"erhalten",2,8580130,1059.32202,408.58542,2.589
"bekommen",2,8666524,1059.32202,412.69952,2.563
"leben",3,13034354,1588.98303,620.69543,2.557
"geld",1,4352105,529.66101,207.24706,2.548
"zudem",1,4375413,529.66101,208.35699,2.535
"verwenden",1,4411274,529.66101,210.06468,2.514
"selbst",3,13348602,1588.98303,635.65991,2.497
"lernen",1,4447925,529.66101,211.81001,2.494
"gehen",6,26892499,3177.96606,1280.61975,2.480
"hoch",3,13471604,1588.98303,641.51727,2.475
"hin",1,4708593,529.66101,224.22299,2.356
"kommen",6,28372544,3177.96606,1351.09937,2.351
"darüber",1,4744996,529.66101,225.95653,2.338
"weniger",1,4747012,529.66101,226.05252,2.337
"hand",1,4767399,529.66101,227.02335,2.327
"jahr",8,38271912,4237.28809,1822.50696,2.324
"ohne",3,14353746,1588.98303,683.52478,2.323
"je",1,4793289,529.66101,228.25623,2.315
"treffen",1,4795113,529.66101,228.34308,2.314
"dabei",3,14496267,1588.98303,690.31165,2.300
"erklären",1,4861363,529.66101,231.49791,2.282
"entsprechend",1,4877289,529.66101,232.25632,2.275
"berlin",1,4982074,529.66101,237.24615,2.227
