Source,Target,Weight,Type
11302.benjaminbuch1,11302.benjaminbuch2,2,undirected
11302.benjaminbuch1,11302.benjaminbuch3,2,undirected
11302.benjaminbuch1,11302.benjaminbuch4,4,undirected
11302.benjaminbuch1,11302.benjaminbuch5,1,undirected
11302.benjaminbuch2,11302.benjaminbuch1,2,undirected
11302.benjaminbuch2,11302.benjaminbuch3,5,undirected
11302.benjaminbuch2,11302.benjaminbuch4,4,undirected
11302.benjaminbuch2,11302.benjaminbuch5,4,undirected
11302.benjaminbuch3,11302.benjaminbuch1,2,undirected
11302.benjaminbuch3,11302.benjaminbuch2,5,undirected
11302.benjaminbuch3,11302.benjaminbuch4,6,undirected
11302.benjaminbuch4,11302.benjaminbuch1,4,undirected
11302.benjaminbuch4,11302.benjaminbuch2,4,undirected
11302.benjaminbuch4,11302.benjaminbuch3,6,undirected
11302.benjaminbuch4,11302.benjaminbuch5,2,undirected
11302.benjaminbuch5,11302.benjaminbuch1,1,undirected
11302.benjaminbuch5,11302.benjaminbuch2,4,undirected
11302.benjaminbuch5,11302.benjaminbuch4,2,undirected
achleitner_bergrichters,achleitner_celsissimus,6,undirected
achleitner_bergrichters,achleitner_tann,4,undirected
achleitner_bergrichters,goethe_farbenlehre,1,undirected
achleitner_bergrichters,goethe_italiensche,1,undirected
achleitner_celsissimus,achleitner_bergrichters,6,undirected
achleitner_celsissimus,achleitner_tann,5,undirected
achleitner_celsissimus,hoffmann_nacht,1,undirected
achleitner_tann,achleitner_bergrichters,4,undirected
achleitner_tann,achleitner_celsissimus,5,undirected
achleitner_tann,freytag_ahnen,1,undirected
anonym_schwester,bonsels_indien,2,undirected
anonym_schwester,brentano_gockel,4,undirected
anonym_schwester,gerstacker_tahiti,1,undirected
arnim_isabella,arnim_kronenwachter1,4,undirected
arnim_isabella,arnim_kronenwachter2,5,undirected
arnim_isabella,wassermann_vierzig,1,undirected
arnim_kronenwachter1,arnim_isabella,4,undirected
arnim_kronenwachter1,arnim_kronenwachter2,6,undirected
arnim_kronenwachter1,hesse_siddhartha,3,undirected
arnim_kronenwachter1,mann_zauberberg,1,undirected
arnim_kronenwachter2,arnim_isabella,5,undirected
arnim_kronenwachter2,arnim_kronenwachter1,6,undirected
arnim_kronenwachter2,brentano_gockel,2,undirected
arnim_kronenwachter2,freytag_haben,2,undirected
arnim_kronenwachter2,hesse_siddhartha,2,undirected
arnim_kronenwachter2,meyer_borgia,2,undirected
bonsels_himmelsvolk,bonsels_indien,1,undirected
bonsels_himmelsvolk,bonsels_maja,6,undirected
bonsels_himmelsvolk,wassermann_spiegel,2,undirected
bonsels_indien,anonym_schwester,2,undirected
bonsels_indien,bonsels_himmelsvolk,1,undirected
bonsels_indien,keller_heinrich,1,undirected
bonsels_indien,meyer_borgia,2,undirected
bonsels_indien,wassermann_spiegel,3,undirected
bonsels_maja,bonsels_himmelsvolk,6,undirected
bonsels_maja,falke_nebel,3,undirected
bonsels_maja,heiberg_frau,1,undirected
brentano_gockel,anonym_schwester,4,undirected
brentano_gockel,arnim_kronenwachter2,2,undirected
brentano_gockel,hoffmann_zaches,4,undirected
brentano_rosenkranz,goethe_faust2,2,undirected
brentano_rosenkranz,hoffmann_nacht,1,undirected
brentano_rosenkranz,hoffmann_topf,3,undirected
brentano_rosenkranz,hoffmann_zaches,2,undirected
falke_durchschnitt,heiberg_grevinde,2,undirected
falke_durchschnitt,kafka_verwandlung,3,undirected
falke_durchschnitt,keller_seldywla2,1,undirected
falke_durchschnitt,mann_zauberberg,3,undirected
falke_nebel,bonsels_maja,3,undirected
falke_nebel,schnitzler_tanzerin,5,undirected
falke_nebel,wassermann_moloch,2,undirected
fontane_birnbaum,fontane_effi,4,undirected
fontane_birnbaum,fontane_irrungen,5,undirected
fontane_birnbaum,sapper_pfaffling,1,undirected
fontane_effi,fontane_birnbaum,4,undirected
fontane_effi,fontane_irrungen,6,undirected
fontane_effi,sapper_pfaffling,1,undirected
fontane_irrungen,fontane_birnbaum,5,undirected
fontane_irrungen,fontane_effi,6,undirected
fontane_irrungen,hesse_knulp,2,undirected
fontane_irrungen,sapper_pfaffling,1,undirected
freytag_ahnen,achleitner_tann,1,undirected
freytag_ahnen,freytag_haben,6,undirected
freytag_ahnen,hoffmann_nacht,1,undirected
freytag_ahnen,hoffmann_topf,1,undirected
freytag_ahnen,meyer_borgia,2,undirected
freytag_haben,arnim_kronenwachter2,2,undirected
freytag_haben,freytag_ahnen,6,undirected
freytag_haben,wassermann_moloch,1,undirected
gerstacker_amerika,gerstacker_reise,4,undirected
gerstacker_amerika,gerstacker_tahiti,6,undirected
gerstacker_amerika,sapper_pfaffling,1,undirected
gerstacker_reise,gerstacker_amerika,4,undirected
gerstacker_reise,gerstacker_tahiti,5,undirected
gerstacker_reise,mann_zauberberg,1,undirected
gerstacker_tahiti,anonym_schwester,1,undirected
gerstacker_tahiti,gerstacker_amerika,6,undirected
gerstacker_tahiti,gerstacker_reise,5,undirected
gerstacker_tahiti,mann_zauberberg,2,undirected
goethe_farbenlehre,achleitner_bergrichters,1,undirected
goethe_farbenlehre,goethe_italiensche,3,undirected
goethe_farbenlehre,goethe_wander,2,undirected
goethe_faust1,goethe_faust2,6,undirected
goethe_faust1,goethe_werther,2,undirected
goethe_faust1,hoffmann_zaches,1,undirected
goethe_faust2,brentano_rosenkranz,2,undirected
goethe_faust2,goethe_faust1,6,undirected
goethe_faust2,hoffmann_zaches,1,undirected
goethe_italiensche,achleitner_bergrichters,1,undirected
goethe_italiensche,goethe_farbenlehre,3,undirected
goethe_italiensche,goethe_lehr,2,undirected
goethe_italiensche,goethe_wahlverwandtschaften,1,undirected
goethe_italiensche,goethe_wander,4,undirected
goethe_italiensche,may_wuste,2,undirected
goethe_lehr,goethe_italiensche,2,undirected
goethe_lehr,goethe_wahlverwandtschaften,5,undirected
goethe_lehr,goethe_wander,4,undirected
goethe_lehr,goethe_werther,3,undirected
goethe_lehr,heiberg_frau,1,undirected
goethe_lehr,kafka_process,1,undirected
goethe_wahlverwandtschaften,goethe_italiensche,1,undirected
goethe_wahlverwandtschaften,goethe_lehr,5,undirected
goethe_wahlverwandtschaften,goethe_wander,6,undirected
goethe_wahlverwandtschaften,goethe_werther,2,undirected
goethe_wahlverwandtschaften,heiberg_frau,1,undirected
goethe_wander,goethe_farbenlehre,2,undirected
goethe_wander,goethe_italiensche,4,undirected
goethe_wander,goethe_lehr,4,undirected
goethe_wander,goethe_wahlverwandtschaften,6,undirected
goethe_wander,goethe_werther,1,undirected
goethe_wander,keller_heinrich,1,undirected
goethe_wander,may_winnetou,2,undirected
goethe_wander,may_wuste,1,undirected
goethe_werther,goethe_faust1,2,undirected
goethe_werther,goethe_lehr,3,undirected
goethe_werther,goethe_wahlverwandtschaften,2,undirected
goethe_werther,goethe_wander,1,undirected
heiberg_charaktere,heiberg_frau,2,undirected
heiberg_charaktere,heiberg_grevinde,4,undirected
heiberg_charaktere,heiberg_todsunden,6,undirected
heiberg_frau,bonsels_maja,1,undirected
heiberg_frau,goethe_lehr,1,undirected
heiberg_frau,goethe_wahlverwandtschaften,1,undirected
heiberg_frau,heiberg_charaktere,2,undirected
heiberg_frau,heiberg_grevinde,6,undirected
heiberg_frau,heiberg_todsunden,4,undirected
heiberg_frau,keller_seldywla1,1,undirected
heiberg_frau,mann_tristan,1,undirected
heiberg_grevinde,falke_durchschnitt,2,undirected
heiberg_grevinde,heiberg_charaktere,4,undirected
heiberg_grevinde,heiberg_frau,6,undirected
