Type	POS	Rank	Freq	Range	NormFreq	NormRange
personen		160	3	1	890.736	1.0
ob		160	3	1	890.736	1.0
nichts		160	3	1	890.736	1.0
nein		160	3	1	890.736	1.0
möchte		160	3	1	890.736	1.0
lieber		160	3	1	890.736	1.0
liebenswürdig		160	3	1	890.736	1.0
leute		160	3	1	890.736	1.0
keine		160	3	1	890.736	1.0
kein		160	3	1	890.736	1.0
jedes		160	3	1	890.736	1.0
ihm		160	3	1	890.736	1.0
hören		160	3	1	890.736	1.0
hast		160	3	1	890.736	1.0
gott		160	3	1	890.736	1.0
glück		160	3	1	890.736	1.0
gewisse		160	3	1	890.736	1.0
gesellschaft		160	3	1	890.736	1.0
gesagt		160	3	1	890.736	1.0
gerne		160	3	1	890.736	1.0
gehabt		160	3	1	890.736	1.0
gefallen		160	3	1	890.736	1.0
gedacht		160	3	1	890.736	1.0
geben		160	3	1	890.736	1.0
einer		160	3	1	890.736	1.0
einander		160	3	1	890.736	1.0
eben		160	3	1	890.736	1.0
dir		160	3	1	890.736	1.0
dienerin		160	3	1	890.736	1.0
dich		160	3	1	890.736	1.0
davon		160	3	1	890.736	1.0
bleiben		160	3	1	890.736	1.0
beyde		160	3	1	890.736	1.0
beständig		160	3	1	890.736	1.0
besten		160	3	1	890.736	1.0
begleiten		160	3	1	890.736	1.0
andern		160	3	1	890.736	1.0
allein		160	3	1	890.736	1.0
über		211	2	1	593.824	1.0
zärtliche		211	2	1	593.824	1.0
zum		211	2	1	593.824	1.0
würdig		211	2	1	593.824	1.0
würde		211	2	1	593.824	1.0
wünschen		211	2	1	593.824	1.0
wunder		211	2	1	593.824	1.0
wort		211	2	1	593.824	1.0
wirst		211	2	1	593.824	1.0
weißt		211	2	1	593.824	1.0
weil		211	2	1	593.824	1.0
weh		211	2	1	593.824	1.0
weder		211	2	1	593.824	1.0
wahrheit		211	2	1	593.824	1.0
vollkommen		211	2	1	593.824	1.0
verstand		211	2	1	593.824	1.0
versprochen		211	2	1	593.824	1.0
versprechen		211	2	1	593.824	1.0
verräther		211	2	1	593.824	1.0
vernunft		211	2	1	593.824	1.0
vermählung		211	2	1	593.824	1.0
vermuthet		211	2	1	593.824	1.0
verheyrathen		211	2	1	593.824	1.0
vergnügen		211	2	1	593.824	1.0
vergessen		211	2	1	593.824	1.0
unwürdig		211	2	1	593.824	1.0
unvermuthet		211	2	1	593.824	1.0
unter		211	2	1	593.824	1.0
unmöglichkeiten		211	2	1	593.824	1.0
unglücklich		211	2	1	593.824	1.0
trägt		211	2	1	593.824	1.0
tod		211	2	1	593.824	1.0
stehn		211	2	1	593.824	1.0
sollen		211	2	1	593.824	1.0
siehst		211	2	1	593.824	1.0
setzt		211	2	1	593.824	1.0
selber		211	2	1	593.824	1.0
seiner		211	2	1	593.824	1.0
seine		211	2	1	593.824	1.0
sehen		211	2	1	593.824	1.0
schöne		211	2	1	593.824	1.0
schön		211	2	1	593.824	1.0
schätze		211	2	1	593.824	1.0
schicken		211	2	1	593.824	1.0
ruhig		211	2	1	593.824	1.0
reizungen		211	2	1	593.824	1.0
prüden		211	2	1	593.824	1.0
oder		211	2	1	593.824	1.0
närrin		211	2	1	593.824	1.0
niemanden		211	2	1	593.824	1.0
nieder		211	2	1	593.824	1.0
neuigkeit		211	2	1	593.824	1.0
nehmen		211	2	1	593.824	1.0
narr		211	2	1	593.824	1.0
mädel		211	2	1	593.824	1.0
meinem		211	2	1	593.824	1.0
mannspersonen		211	2	1	593.824	1.0
länger		211	2	1	593.824	1.0
liebhaber		211	2	1	593.824	1.0
leben		211	2	1	593.824	1.0
lauter		211	2	1	593.824	1.0
küssen		211	2	1	593.824	1.0
könnte		211	2	1	593.824	1.0
