Type	POS	Rank	Freq	Range	NormFreq	NormRange
deine		326	1	1	296.912	1.0
dein		326	1	1	296.912	1.0
decke		326	1	1	296.912	1.0
dazu		326	1	1	296.912	1.0
dauret		326	1	1	296.912	1.0
dauert		326	1	1	296.912	1.0
darauf		326	1	1	296.912	1.0
danken		326	1	1	296.912	1.0
damit		326	1	1	296.912	1.0
dafür		326	1	1	296.912	1.0
dachte		326	1	1	296.912	1.0
dabey		326	1	1	296.912	1.0
curios		326	1	1	296.912	1.0
creatur		326	1	1	296.912	1.0
coquetten		326	1	1	296.912	1.0
compliment		326	1	1	296.912	1.0
christian		326	1	1	296.912	1.0
celimenen		326	1	1	296.912	1.0
celim		326	1	1	296.912	1.0
bussel		326	1	1	296.912	1.0
bräutigam		326	1	1	296.912	1.0
brunnen		326	1	1	296.912	1.0
bruder		326	1	1	296.912	1.0
bringen		326	1	1	296.912	1.0
brauche		326	1	1	296.912	1.0
blühen		326	1	1	296.912	1.0
blutiger		326	1	1	296.912	1.0
blieb		326	1	1	296.912	1.0
bleibt		326	1	1	296.912	1.0
bleibe		326	1	1	296.912	1.0
blaß		326	1	1	296.912	1.0
bitten		326	1	1	296.912	1.0
bist		326	1	1	296.912	1.0
billig		326	1	1	296.912	1.0
beyfall		326	1	1	296.912	1.0
beyden		326	1	1	296.912	1.0
bevorstehenden		326	1	1	296.912	1.0
betrüben		326	1	1	296.912	1.0
betrogen		326	1	1	296.912	1.0
betragen		326	1	1	296.912	1.0
besucht		326	1	1	296.912	1.0
besuchen		326	1	1	296.912	1.0
besuche		326	1	1	296.912	1.0
besuch		326	1	1	296.912	1.0
bestürzung		326	1	1	296.912	1.0
beständiger		326	1	1	296.912	1.0
beschwerlich		326	1	1	296.912	1.0
bereits		326	1	1	296.912	1.0
belebter		326	1	1	296.912	1.0
belebt		326	1	1	296.912	1.0
beklagen		326	1	1	296.912	1.0
behutsam		326	1	1	296.912	1.0
begin		326	1	1	296.912	1.0
begehrte		326	1	1	296.912	1.0
begehen		326	1	1	296.912	1.0
befördert		326	1	1	296.912	1.0
befehl		326	1	1	296.912	1.0
befahl		326	1	1	296.912	1.0
bedingungen		326	1	1	296.912	1.0
bedienter		326	1	1	296.912	1.0
bediente		326	1	1	296.912	1.0
bedanken		326	1	1	296.912	1.0
bauen		326	1	1	296.912	1.0
außer		326	1	1	296.912	1.0
auszumachen		326	1	1	296.912	1.0
auszugehn		326	1	1	296.912	1.0
ausgabe		326	1	1	296.912	1.0
aufwartung		326	1	1	296.912	1.0
aufsetzerin		326	1	1	296.912	1.0
aufrichtigkeit		326	1	1	296.912	1.0
aufgewartet		326	1	1	296.912	1.0
aufgedecket		326	1	1	296.912	1.0
artiger		326	1	1	296.912	1.0
art		326	1	1	296.912	1.0
arme		326	1	1	296.912	1.0
annimmt		326	1	1	296.912	1.0
anfangs		326	1	1	296.912	1.0
ander		326	1	1	296.912	1.0
amanten		326	1	1	296.912	1.0
amant		326	1	1	296.912	1.0
allgemeine		326	1	1	296.912	1.0
alles		326	1	1	296.912	1.0
allerwenigsten		326	1	1	296.912	1.0
allen		326	1	1	296.912	1.0
affectirter		326	1	1	296.912	1.0
affectirte		326	1	1	296.912	1.0
achter		326	1	1	296.912	1.0
acht		326	1	1	296.912	1.0
absichten		326	1	1	296.912	1.0
abgeleget		326	1	1	296.912	1.0
abbruch		326	1	1	296.912	1.0
a		326	1	1	296.912	1.0
