type,pos,headword,freq,range
eingangszitate,,,1,1
eingekreistes,,,1,1
einmal,,,1,1
eins,,,1,1
einschleicht,,,1,1
einzelnen,,,2,1
einzig,,,1,1
einziges,,,1,1
elendslandschaft,,,1,1
emen,,,1,1
emsig,,,1,1
eng,,,1,1
entdeckt,,,1,1
entfalten,,,1,1
enthalten,,,1,1
entlang,,,1,1
entschärfen,,,1,1
entspinnt,,,1,1
entsteht,,,1,1
er,,,3,1
erde,,,1,1
erfinden,,,1,1
erkenne,,,1,1
erleichtern,,,1,1
ermöglicht,,,1,1
ernährt,,,1,1
erscheinenden,,,1,1
erschließen,,,1,1
erst,,,2,1
erste,,,3,1
erzählt,,,1,1
es,,,3,1
etagen,,,2,1
etc,,,1,1
euch,,,7,1
eurer,,,1,1
f,,,3,1
fahne,,,1,1
fahrt,,,2,1
fall,,,1,1
fallen,,,1,1
fallst,,,1,1
falte,,,1,1
falten,,,1,1
familie,,,1,1
fanden,,,1,1
fangen,,,1,1
fangt,,,1,1
fasernackt,,,1,1
fast,,,1,1
faust,,,1,1
fegewasser,,,1,1
fehlerhaft,,,1,1
fehlt,,,1,1
feind,,,1,1
felder,,,1,1
feldherr,,,1,1
feldherrn,,,1,1
feldherrnlosen,,,1,1
feldkreuz,,,1,1
feldkreuze,,,1,1
feldweg,,,1,1
fell,,,1,1
fenster,,,1,1
fern,,,1,1
fest,,,1,1
feuchte,,,1,1
fickrig,,,1,1
fiepender,,,1,1
figur,,,1,1
fiiegenköpfe,,,1,1
filterzigarette,,,1,1
fingerspritzen,,,1,1
finster,,,1,1
finstern,,,1,1
fleddern,,,1,1
fleisch,,,1,1
flicht,,,1,1
fliege,,,1,1
fliegen,,,2,1
fliegenköpfe,,,1,1
fllt,,,2,1
fluchen,,,1,1
flugasche,,,1,1
flurbuch,,,2,1
flurbücher,,,1,1
flurstücke,,,2,1
flussverwaiste,,,1,1
flut,,,1,1
flüchten,,,1,1
flüchtigen,,,1,1
flügge,,,1,1
folgt,,,1,1
fontänen,,,1,1
fort,,,1,1
fortklopfen,,,1,1
fototapete,,,1,1
fragen,,,1,1
frau,,,2,1
frauen,,,3,1
fremde,,,1,1
fremden,,,1,1
freund,,,2,1
frühen,,,1,1
fuhren,,,1,1
funken,,,1,1
funkten,,,1,1
furcht,,,1,1
fuß,,,4,1
förderband,,,1,1
fügt,,,2,1
führer,,,1,1
führn,,,1,1
führte,,,1,1
für,,,10,1
füßen,,,1,1
gab,,,1,1
gahnenden,,,1,1
galt,,,1,1
galten,,,1,1
ganz,,,1,1
ganze,,,1,1
ganzen,,,1,1
garten,,,1,1
gartenweg,,,1,1
gast,,,2,1
gaumenzapfen,,,1,1
gazeta,,,2,1
geackert,,,1,1
gebet,,,1,1
geblieben,,,2,1
gedichte,,,3,1
gedieht,,,3,1
gefv,,,1,1
gefährten,,,3,1
gegeben,,,1,1
gegen,,,4,1
gegenübersaßt,,,1,1
gegraben,,,1,1
geh,,,1,1
gehackert,,,1,1
gehalten,,,1,1
gehorsam,,,1,1
geht,,,3,1
gehört,,,3,1
geifer,,,1,1
gekaiift,,,1,1
gekappte,,,1,1
gekauft,,,4,1
gelb,,,2,1
geliebte,,,1,1
geliebter,,,1,1
genesenden,,,1,1
genommen,,,1,1
germany,,,1,1
gerodet,,,1,1
gescheut,,,1,1
geschichte,,,2,1
geschickt,,,3,1
geschiente,,,1,1
geschlossenen,,,1,1
geschlossne,,,1,1
geschmacksknospen,,,1,1
geschmäht,,,1,1
geschniefe,,,1,1
geschwungen,,,1,1
gesehn,,,1,1
gesetzt,,,1,1
gesetzte,,,1,1
gespannten,,,1,1
gesparte,,,1,1
gespickt,,,1,1
gespräche,,,1,1
gestaltung,,,1,1
gestickt,,,1,1
gestrandet,,,1,1
getrieben,,,1,1
gewalt,,,1,1
gewebt,,,1,1
gewesen,,,1,1
gewöhnung,,,1,1
gewölbe,,,1,1
geäst,,,1,1
gibt,,,1,1
ging,,,1,1
gitter,,,1,1
glaudzau,,,1,1
gleis,,,1,1
gleisbewacher,,,1,1
gnade,,,1,1
goten,,,1,1
gotenhoden,,,1,1
gott,,,1,1
gottes,,,1,1
grab,,,2,1
gram,,,1,1
grauen,,,1,1
grausamkeiten,,,1,1
greift,,,1,1
grenze,,,1,1
grenzhandel,,,1,1
grenzverkehr,,,1,1
grotesk,,,1,1
groß,,,1,1
große,,,1,1
großvätern,,,1,1
grund,,,1,1
größte,,,1,1
grüßt,,,1,1
gäb,,,1,1
gänzlich,,,1,1
gästezimmer,,,2,1
güterschütt,,,1,1
h,,,1,1
haar,,,3,1
habe,,,6,1
haben,,,2,1
habens,,,1,1
hacken,,,1,1
hackten,,,1,1
hafen,,,1,1
hafi,,,1,1
halb,,,3,1
halbblind,,,1,1
halblicht,,,1,1
halbmond,,,1,1
halbnacht,,,1,1
halbnächtlich,,,1,1
halina,,,1,1
halrne,,,1,1
hals,,,1,1
halten,,,3,1
hand,,,2,1
handgeflochtnen,,,1,1
harken,,,1,1
hast,,,1,1
hat,,,11,1
hatte,,,3,1
haus,,,4,1
heap,,,1,1
hearted,,,2,1
hebel,,,1,1
hecken,,,1,1
heiner,,,1,1
heiße,,,1,1
heißen,,,1,1
hellblau,,,1,1
helle,,,1,1
her,,,2,1
heraklisch,,,1,1
heraus,,,1,1
herausgegeben,,,1,1
herb,,,1,1
herbstspiel,,,2,1
herde,,,1,1
herr,,,11,1
hervor,,,2,1
herz,,,3,1
herzen,,,3,1
heut,,,1,1
heuten,,,1,1
hieb,,,1,1
hier,,,3,1
hierarchisches,,,1,1
hießen,,,2,1
hilt,,,1,1
himmel,,,2,1
himrnel,,,1,1
hinein,,,1,1
hing,,,1,1
hinsprechend,,,1,1
hinter,,,4,1
hinterrücks,,,1,1
hirten,,,1,1
hm,,,6,1
hof,,,1,1
holprig,,,1,1
holzfaller,,,1,1
holzfäller,,,1,1
home,,,1,1
honet,,,2,1
horngetrümmer,,,1,1
hunde,,,7,1
hustet,,,1,1
hälften,,,1,1
hält,,,2,1
hände,,,4,1
händen,,,2,1
härtest,,,1,1
hättest,,,1,1
höchst,,,1,1
hören,,,2,1
hügelpaar,,,1,1
hühnchen,,,1,1
hünen,,,1,1
i,,,34,1
ich,,,42,1
idstein,,,1,1
ihm,,,2,1
ihn,,,1,1
ihr,,,6,1
ihre,,,4,1
ihren,,,2,1
ii,,,16,1
iii,,,6,1
iim,,,1,1
il,,,1,1
im,,,25,1
immer,,,3,1
in,,,63,1
inder,,,2,1
inhalt,,,3,1
inkongruenz,,,1,1
ins,,,8,1
insbesondere,,,1,1
io,,,2,1
ir,,,2,1
isbn,,,2,1
issuing,,,2,1
ist,,,17,1
iv,,,6,1
ivoe,,,1,1
j,,,5,1
ja,,,1,1
jagd,,,1,1
jagen,,,2,1
jahrhunderts,,,1,1
jaint,,,1,1
jammer,,,1,1
je,,,1,1
jedem,,,1,1
jeden,,,2,1
jeder,,,2,1
jedes,,,2,1
jetzt,,,2,1
jif,,,1,1
jäger,,,2,1
kachanie,,,1,1
kam,,,3,1
kamrner,,,1,1
kann,,,2,1
kannst,,,1,1
karte,,,1,1
karten,,,2,1
kassandren,,,1,1
kasten,,,2,1
kataloges,,,1,1
kaum,,,1,1
kehlen,,,2,1
kein,,,6,1
keine,,,8,1
kennst,,,2,1
kennt,,,2,1
kennte,,,1,1
kiese,,,1,1
kinderlied,,,2,1
kirschroten,,,2,1
klamme,,,1,1
klammern,,,1,1
klang,,,1,1
klappen,,,1,1
klappriger,,,1,1
kleider,,,1,1
klein,,,1,1
kleine,,,2,1
kleinen,,,1,1
kleiner,,,1,1
kleingescheckte,,,1,1
kläff,,,1,1
knabe,,,1,1
knebel,,,1,1
kniet,,,1,1
knirschen,,,4,1
knurren,,,1,1
knüpften,,,1,1
kochanie,,,5,1
koeppen,,,1,1
kohlenstaub,,,1,1
kommt,,,2,1
kookbooks,,,1,1
kookone,,,1,1
kopf,,,3,1
kralle,,,1,1
krampfe,,,1,1
krank,,,1,1
kreisau,,,6,1
kreisauer,,,6,1
kreuz,,,1,1
kriti,,,1,1
krz,,,2,1
krzyl,,,1,1
krzyz,,,3,1
krzyzowa,,,3,1
kummers,,,1,1
kunst,,,1,1
kunäan,,,1,1
kuss,,,1,1
käfig,,,1,1
kästen,,,1,1
können,,,2,1
könnt,,,1,1
könnte,,,1,1
köpfe,,,1,1
körben,,,1,1
körper,,,1,1
körpers,,,1,1
körperteile,,,1,1
küsse,,,1,1
l,,,20,1
labyrinth,,,1,1
lag,,,1,1
lager,,,1,1
lagerhallen,,,1,1
laken,,,1,1
land,,,2,1
landschafi,,,1,1
lang,,,1,1
lange,,,3,1
lasen,,,2,1
lass,,,1,1
lauern,,,1,1
lauf,,,1,1
lauffeuer,,,1,1
laut,,,1,1
lautrausch,,,1,1
lavinia,,,3,1
lb,,,1,1
lebenslang,,,1,1
leda,,,1,1
leeren,,,1,1
legen,,,1,1
legende,,,1,1
legnica,,,9,1
legst,,,1,1
leib,,,1,1
leibern,,,1,1
leiden,,,1,1
leitung,,,1,1
lesenfiir,,,1,1
leser,,,1,1
letzte,,,1,1
letzten,,,1,1
leufig,,,1,1
licht,,,1,1
lid,,,1,1
lider,,,1,1
liebe,,,6,1
liebste,,,1,1
liegnitz,,,2,1
liest,,,1,1
ließen,,,2,1
links,,,1,1
lippen,,,4,1
lischen,,,1,1
literaturarchiv,,,2,1
livestream,,,1,1
lnoc,,,1,1
lnocna,,,2,1
lohnt,,,1,1
look,,,2,1
ls,,,1,1
lunge,,,1,1
lyrik,,,1,1
länder,,,1,1
m,,,1,1
malczvce,,,1,1
maltscli,,,1,1
man,,,4,1
mann,,,1,1
map,,,2,1
marbach,,,2,1
markieren,,,1,1
markierung,,,1,1
marsch,,,1,1
matratze,,,1,1
maße,,,1,1
meer,,,1,1
meerrneter,,,1,1
mein,,,14,1
meine,,,15,1
meinem,,,2,1
meinen,,,1,1
meines,,,1,1
meist,,,1,1
mensch,,,1,1
mercator,,,1,1
message,,,1,1
metamorphosen,,,1,1
meter,,,1,1
meute,,,1,1
mi,,,2,1
mich,,,11,1
mit,,,26,1
mitte,,,1,1
mitternacht,,,1,1
moos,,,1,1
mooslichtig,,,1,1
mordio,,,1,1
morgens,,,1,1
mund,,,6,1
mundbett,,,1,1
mundes,,,4,1
mundhöhle,,,1,1
munuas,,,1,1
murmelchen,,,3,1
murmelehen,,,1,1
murmeln,,,1,1
muss,,,1,1
musste,,,1,1
muster,,,1,1
mädchen,,,3,1
männer,,,3,1
märchen,,,1,1
müller,,,1,1
münchen,,,1,1
münder,,,2,1
mündern,,,2,1
münzen,,,2,1
n,,,1,1
nach,,,3,1
nachlief,,,1,1
nacht,,,6,1
nachtrag,,,3,1
nachts,,,3,1
nah,,,3,1
nahe,,,1,1
nahmen,,,1,1
nahmst,,,1,1
name,,,2,1
namen,,,1,1
nannten,,,1,1
nebeldichte,,,1,1
nebelvoliere,,,3,1
neben,,,3,1
nebengleis,,,1,1
nehmen,,,1,1
nein,,,1,1
nennt,,,2,1
nestern,,,1,1
netz,,,2,1
netze,,,1,1
netzhaut,,,1,1
neu,,,1,1
neuen,,,1,1
nicht,,,15,1
nichts,,,2,1
nie,,,1,1
niemals,,,1,1
nimmt,,,1,1
nirgendwo,,,1,1
nj,,,1,1
noch,,,9,1
norden,,,1,1
not,,,1,1
november,,,1,1
ns,,,1,1
nun,,,1,1
nur,,,11,1
nutzbar,,,1,1
nw,,,2,1
nördlich,,,1,1
nördlingen,,,1,1
o,,,1,1
obst,,,3,1
oder,,,5,1
oderknie,,,1,1
of,,,1,1
ofen,,,1,1
offner,,,1,1
oft,,,1,1
oh,,,1,1
ohne,,,7,1
oktober,,,1,1
opfer,,,2,1
ordnung,,,1,1
ort,,,3,1
orten,,,1,1
ovid,,,1,1
ovidsche,,,2,1
ow,,,1,1
p,,,4,1
perfektionierte,,,1,1
perle,,,1,1
pfade,,,1,1
pflücken,,,1,1
pflügen,,,1,1
philomelas,,,1,1
pilze,,,1,1
pl,,,3,1
plündern,,,1,1
polnische,,,3,1
polny,,,3,1
polrr,,,1,1
positionen,,,1,1
post,,,2,1
postnarkotischen,,,1,1
poswiatowska,,,1,1
preisende,,,1,1
prinred,,,1,1
quellen,,,1,1
r,,,9,1
rache,,,1,1
rachen,,,1,1
rand,,,1,1
randvoll,,,1,1
raschen,,,1,1
rasenden,,,1,1
rauch,,,1,1
raucht,,,1,1
re,,,1,1
rechte,,,1,1
rechts,,,1,1
red,,,1,1
rede,,,3,1
reden,,,2,1
redet,,,1,1
regen,,,1,1
reh,,,1,1
reich,,,1,1
reifenspur,,,1,1
reihe,,,1,1
reime,,,1,1
reisen,,,1,1
reisende,,,2,1
renaissancedichtung,,,1,1
rest,,,2,1
rhetorisches,,,1,1
richten,,,1,1
richtet,,,1,1
richtige,,,1,1
richtung,,,2,1
rinde,,,1,1
rippenlicht,,,1,1
ro,,,1,1
roh,,,1,1
rohrleitung,,,1,1
rom,,,3,1
roman,,,2,1
rome,,,1,1
roms,,,1,1
rot,,,1,1
roten,,,1,1
route,,,1,1
routiniert,,,1,1
rubbish,,,1,1
rufst,,,1,1
ruft,,,1,1
ruhmundehre,,,1,1
ruthiess,,,1,1
ruthless,,,1,1
ruß,,,1,1
rädern,,,1,1
römisch,,,1,1
römische,,,1,1
rücken,,,2,1
rückstoß,,,1,1
rührt,,,1,1
s,,,5,1
sag,,,4,1
sagen,,,5,1
sagt,,,4,1
sagte,,,2,1
sahen,,,1,1
sahn,,,3,1
samten,,,1,1
sand,,,1,1
sanitäres,,,1,1
scci,,,1,1
scciic,,,1,1
sccne,,,1,1
scene,,,2,1
schafe,,,1,1
schafen,,,1,1
schaft,,,2,1
schaftgeschwader,,,1,1
schar,,,1,1
scharren,,,1,1
schau,,,1,1
schaufelhändig,,,1,1
schaufeln,,,1,1
schaufelte,,,1,1
schaurn,,,1,1
sche,,,1,1
scheft,,,1,1
scheint,,,1,1
scherz,,,1,1
scheuchst,,,1,1
schiefes,,,1,1
schienen,,,1,1
schießt,,,1,1
schilde,,,1,1
schimmlige,,,1,1
schlaf,,,1,1
schlafenden,,,2,1
schlafkanal,,,1,1
schlag,,,1,1
schlagen,,,1,1
schlaglochliebe,,,1,1
schlauch,,,1,1
schlesischen,,,1,1
schleusen,,,1,1
schlichterdings,,,1,1
schliefen,,,3,1
schließ,,,2,1
schließen,,,1,1
schließt,,,1,1
schloss,,,1,1
schlugen,,,1,1
schläfrig,,,1,1
schläfst,,,1,1
schlüssel,,,1,1
schmal,,,1,1
schmerz,,,3,1
