corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,nns8.0,595,24680,0,595,24680,0
qd,nns8.0,24693,48085,0,24693,48085,0
qd,nns8.0,48098,83005,0,48098,83005,0
qd,nns8.0,83018,120113,0,83018,120113,0
