corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
qd,k4xx.0,522,1680,0,522,1680,0
qd,k4xx.0,1694,47087,0,1694,47087,0
qd,k4xx.0,47100,78472,0,47100,78472,0
qd,k4xx.0,78485,96427,0,78485,96427,0
