corpus,drama,figure_surface,figure_id,Gender,Age
qd,v3t6.0,DER KLAVIERSPIELER,der_klavierspieler,,
qd,v3t6.0,ERSTER SKANDALMACHER,erster_skandalmacher,,
qd,v3t6.0,VIELE,einige,,
qd,v3t6.0,HELD,held,,
qd,v3t6.0,DICHTER,dichter,,
qd,v3t6.0,DIREKTOR,der_direktor,,
qd,v3t6.0,DER DICHTER,der_dichter,,
qd,v3t6.0,ZWEITER BÜRGER,zweiter_bürger,,
qd,v3t6.0,ANDERE,andere,,
qd,v3t6.0,KANZELIST,kanzelist,,
qd,v3t6.0,TOD,tod,,
qd,v3t6.0,KELLNER,kellner,,
qd,v3t6.0,BRÄUTIGAM,bräutigam,,
qd,v3t6.0,HEITERER,heiterer,,
qd,v3t6.0,DER GRAF,graf,,
qd,v3t6.0,DER WOHLWOLLENDE,der_wohlwollende,,
qd,v3t6.0,DER NAIVE,der_naive,,
qd,v3t6.0,RÄSONEUR,der_räsoneur,,
qd,v3t6.0,DER BISSIGE,der_bissige,,
qd,v3t6.0,ERNSTER,ernster,,
qd,v3t6.0,LIESL,liesl,,
qd,v3t6.0,HERZOG,herzog,,
qd,v3t6.0,ERSTES MÄDEL,erstes_mädel,,
qd,v3t6.0,DIE MARIONETTEN,marionetten,,
qd,v3t6.0,ERSTER BÜRGER,erster_bürger,,
qd,v3t6.0,MEISTER,meister,,
qd,v3t6.0,DER DIENER,der_diener,,
qd,v3t6.0,DER UNBEKANNTE,der_unbekannte,,
qd,v3t6.0,DER HERR,der_herr_im_parkett,,
qd,v3t6.0,HERZOGIN,herzogin,,
qd,v3t6.0,ZWEITES MÄDEL,zweites_mädel,,
qd,v3t6.0,DIE FRAU,die_frau,,
